epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.10152510553598404,0.0010000000474974513,0.9980652928352356,0.1148996576666832,0.9393092393875122
1,0.1621975153684616,0.0010000000474974513,0.8868606686592102,0.16357894241809845,0.8815485239028931
2,0.1992584764957428,0.0010000000474974513,0.8372218012809753,0.20850689709186554,0.8268873691558838
3,0.21863630414009094,0.0010000000474974513,0.8109015226364136,0.2066476196050644,0.8254590034484863
4,0.22835750877857208,0.0010000000474974513,0.7985072731971741,0.2081582397222519,0.8244581818580627
5,0.2377825528383255,0.0005000000237487257,0.7856873273849487,0.22032231092453003,0.8113216161727905
6,0.2435690462589264,0.0005000000237487257,0.7785972952842712,0.22432367503643036,0.8081523776054382
7,0.24830016493797302,0.0005000000237487257,0.7730331420898438,0.2275259643793106,0.8040333986282349
8,0.2524968385696411,0.0005000000237487257,0.7678806781768799,0.23130425810813904,0.7991539835929871
9,0.25618812441825867,0.0005000000237487257,0.7633049488067627,0.2354327142238617,0.7944686412811279
10,0.258394718170166,0.0005000000237487257,0.7606509923934937,0.23758968710899353,0.7913388013839722
11,0.2611558139324188,0.0005000000237487257,0.7571627497673035,0.24280355870723724,0.7862401008605957
12,0.2630932629108429,0.0005000000237487257,0.7545726895332336,0.2437455952167511,0.7851734161376953
13,0.2653157413005829,0.0005000000237487257,0.7517367601394653,0.24377338588237762,0.7855749726295471
14,0.2680691182613373,0.0005000000237487257,0.7483704090118408,0.24450311064720154,0.7846079468727112
