epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.11252760142087936,0.0010000000474974513,0.9972610473632812,0.1328386515378952,0.9138914346694946
1,0.1665855348110199,0.0010000000474974513,0.8822254538536072,0.1396314650774002,0.909099280834198
2,0.17139755189418793,0.0010000000474974513,0.876700758934021,0.14621977508068085,0.9047548770904541
3,0.17514941096305847,0.0010000000474974513,0.8720001578330994,0.14478109776973724,0.9048879146575928
4,0.1770351082086563,0.0010000000474974513,0.8689572811126709,0.14684219658374786,0.8998661041259766
5,0.17893080413341522,0.0010000000474974513,0.8657956719398499,0.14989237487316132,0.8978373408317566
6,0.1803978830575943,0.0010000000474974513,0.8631829023361206,0.1519704908132553,0.8966124653816223
7,0.18313395977020264,0.0010000000474974513,0.8587632179260254,0.1589309424161911,0.879753828048706
8,0.19354386627674103,0.0010000000474974513,0.8433876037597656,0.17215882241725922,0.8608567118644714
9,0.20820797979831696,0.0010000000474974513,0.822010338306427,0.17858906090259552,0.8534449338912964
10,0.21649591624736786,0.0010000000474974513,0.8109049201011658,0.19121243059635162,0.8370550870895386
11,0.22210192680358887,0.0010000000474974513,0.8036009073257446,0.18949592113494873,0.8395646214485168
12,0.2310633659362793,0.0010000000474974513,0.7935575842857361,0.21506597101688385,0.822420060634613
13,0.24131415784358978,0.0010000000474974513,0.7819675803184509,0.21911165118217468,0.8150372505187988
14,0.24965278804302216,0.0010000000474974513,0.7720676064491272,0.21901912987232208,0.8069496154785156
