epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.11182715743780136,0.0010000000474974513,1.0090471506118774,0.15321996808052063,0.8872482180595398
1,0.18010619282722473,0.0010000000474974513,0.8606549501419067,0.16827039420604706,0.8679587244987488
2,0.20011162757873535,0.0010000000474974513,0.8322076797485352,0.18985965847969055,0.8372446894645691
3,0.21400003135204315,0.0010000000474974513,0.8149164915084839,0.20109213888645172,0.8227106928825378
4,0.22728486359119415,0.0010000000474974513,0.7997149229049683,0.19940494000911713,0.8243750333786011
5,0.2379065901041031,0.0010000000474974513,0.7866828441619873,0.20351478457450867,0.8191083669662476
6,0.24570295214653015,0.0010000000474974513,0.7771331071853638,0.21137908101081848,0.8105604648590088
7,0.25152918696403503,0.0010000000474974513,0.7695200443267822,0.21836262941360474,0.8027814626693726
8,0.4624359905719757,0.0010000000474974513,0.6231602430343628,0.75493323802948,0.38820189237594604
9,0.7226917743682861,0.0010000000474974513,0.4256046712398529,0.7614108324050903,0.34938952326774597
10,0.6834831833839417,0.0010000000474974513,0.5098682641983032,0.7641453146934509,0.36964425444602966
11,0.7283115386962891,0.0010000000474974513,0.38716477155685425,0.5961215496063232,0.6741372346878052
12,0.6463329792022705,0.0010000000474974513,0.5930134654045105,0.7568924427032471,0.38982367515563965
13,0.7653815150260925,0.0005000000237487257,0.3224840462207794,0.7701153755187988,0.33108437061309814
14,0.7751073241233826,0.0005000000237487257,0.3300011157989502,0.7729641795158386,0.3154395818710327
