epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.08922898024320602,0.0010000000474974513,0.9866083860397339,0.20039546489715576,0.8533376455307007
1,0.16638754308223724,0.0010000000474974513,0.874408483505249,0.22039519250392914,0.8340901136398315
2,0.19439232349395752,0.0010000000474974513,0.8421518802642822,0.2390071004629135,0.8057386875152588
3,0.20911067724227905,0.0010000000474974513,0.8227187991142273,0.24666081368923187,0.7960848212242126
4,0.22037649154663086,0.0010000000474974513,0.8081952333450317,0.26095980405807495,0.7760471105575562
5,0.2291368544101715,0.0010000000474974513,0.7969358563423157,0.2621892988681793,0.7758049368858337
6,0.23641689121723175,0.0010000000474974513,0.7872783541679382,0.2639252245426178,0.775018036365509
7,0.2416914999485016,0.0010000000474974513,0.780768096446991,0.2692180573940277,0.7624588012695312
8,0.24829640984535217,0.0010000000474974513,0.7723517417907715,0.27092355489730835,0.7619348168373108
9,0.2523682415485382,0.0010000000474974513,0.7673327922821045,0.2694210708141327,0.7677743434906006
10,0.2545258104801178,0.0010000000474974513,0.7645062208175659,0.27506953477859497,0.7527297735214233
11,0.2596788704395294,0.0010000000474974513,0.7581022381782532,0.27494627237319946,0.757424533367157
12,0.26091212034225464,0.0010000000474974513,0.7567310929298401,0.27441170811653137,0.7579203248023987
13,0.26905086636543274,0.0005000000237487257,0.7458574771881104,0.2816004455089569,0.7405896186828613
14,0.2717776596546173,0.0005000000237487257,0.7425274848937988,0.2827308475971222,0.7394040822982788
