epoch,loss,val_loss
0,0.033988941460847855,0.028954463079571724
1,0.02420208975672722,0.026585664600133896
2,0.021969415247440338,0.028536779806017876
3,0.019413122907280922,0.02743592858314514
4,0.017587851732969284,0.026937857270240784
5,0.015971554443240166,0.02641618624329567
6,0.015023261308670044,0.025472449138760567
7,0.013696759939193726,0.026492860168218613
8,0.013019788078963757,0.027881786227226257
9,0.012270805425941944,0.026222456246614456
10,0.011438114568591118,0.026050711050629616
11,0.010903827846050262,0.02737228199839592
12,0.010315070860087872,0.026770373806357384
13,0.01000277977436781,0.026637332513928413
14,0.009556072764098644,0.026404276490211487
