epoch,loss,val_loss
0,0.03441325202584267,0.030684977769851685
1,0.026825180277228355,0.030735282227396965
2,0.023567402735352516,0.02792969159781933
3,0.021092640236020088,0.02655448205769062
4,0.01972874067723751,0.026910465210676193
5,0.01821823976933956,0.023378850892186165
6,0.01653134636580944,0.02447018213570118
7,0.01558648981153965,0.022443830966949463
8,0.014386096969246864,0.02146562747657299
9,0.013808425515890121,0.021207556128501892
10,0.013763029128313065,0.019667960703372955
11,0.012614898383617401,0.02015211060643196
12,0.011915886774659157,0.01972072198987007
13,0.011579028330743313,0.018634818494319916
14,0.011157561093568802,0.019248945638537407
