split,fold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_1,255563,129210,51071149,317518,0.36389901052412227,0.6641916142764522,0.44594568656087974,0.9913714831388448
val,fold_2,313217,75903,52813007,209713,0.523045657136455,0.8049367804276109,0.598965444705781,0.9946525714148772
val,fold_3,218421,79043,43708189,100075,0.5494328858300557,0.7342770889922567,0.6857888325127887,0.995938894830168
val,fold_4,357662,103124,42422914,173452,0.5639239528378848,0.7761997977368935,0.6734185127863195,0.9935765375285387
val,fold_5,225841,22261,43017067,250735,0.4527350617536299,0.910274806329618,0.4738824447727021,0.9937265235257434
val_global_cv,global_cv,1370704,409541,233032326,1051493,0.4840504312192707,0.7699524503649735,0.565892865031207,0.9938056099974603
final_test,fold_4,175608,80671,21316552,54049,0.565878683199693,0.6852219651239202,0.7646533743800203,0.9937707149621207
