epoch,loss,val_loss
0,0.037180498242378235,0.024750832468271255
1,0.02500116638839245,0.020962607115507126
2,0.022485559806227684,0.018717477098107338
3,0.02097884938120842,0.018626971170306206
4,0.018862534314393997,0.0181618332862854
5,0.018042420968413353,0.01870034448802471
6,0.01690538600087166,0.016370387747883797
7,0.015612457878887653,0.01647946611046791
8,0.015227915719151497,0.017444167286157608
9,0.014020178467035294,0.01698785461485386
10,0.01332237757742405,0.017392558977007866
11,0.012629469856619835,0.016729356721043587
12,0.012300539761781693,0.01697027124464512
13,0.01344347931444645,0.0164805818349123
14,0.011454076506197453,0.018835535272955894
