epoch,loss,val_loss
0,0.034200239926576614,0.03341284021735191
1,0.02243764139711857,0.03047334775328636
2,0.019977392628788948,0.030857553705573082
3,0.01851535402238369,0.03442659601569176
4,0.016820386052131653,0.03332006558775902
5,0.01575729064643383,0.032761793583631516
6,0.014438513666391373,0.03337535262107849
7,0.014095702208578587,0.031556352972984314
8,0.013094155117869377,0.031567513942718506
9,0.012495063245296478,0.030056748539209366
10,0.012776356190443039,0.032124992460012436
11,0.012032004073262215,0.03055918775498867
12,0.011072560213506222,0.0310263242572546
13,0.01087560597807169,0.032058801501989365
14,0.010349924676120281,0.03633015602827072
