epoch,loss,val_loss
0,0.04047628492116928,0.018747717142105103
1,0.02630159631371498,0.016464313492178917
2,0.02368214540183544,0.021639391779899597
3,0.02232583425939083,0.01453927531838417
4,0.020226474851369858,0.015120688825845718
5,0.019190961495041847,0.014900486916303635
6,0.018135571852326393,0.01345587708055973
7,0.01666935719549656,0.013329788111150265
8,0.015815291553735733,0.013239444233477116
9,0.014477277174592018,0.012474673800170422
10,0.013617447577416897,0.01247700210660696
11,0.013097390532493591,0.012387561611831188
12,0.012349600903689861,0.012923305854201317
13,0.01198678556829691,0.011593896895647049
14,0.011922872625291348,0.011865915730595589
