fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
4,TCGA_CS_4941,TCGA_CS_4941_19960909_1.tif,0,4386,61150,0,0.0,0.0,0.0,0.9330749511717327
4,TCGA_CS_4941,TCGA_CS_4941_19960909_10.tif,0,3057,62479,0,0.0,0.0,0.0,0.9533538818357921
4,TCGA_CS_4941,TCGA_CS_4941_19960909_11.tif,150,3143,60967,1276,0.03282994090603451,0.04555116914653644,0.10518934081272659,0.9325714111326703
4,TCGA_CS_4941,TCGA_CS_4941_19960909_12.tif,1177,2288,60602,1469,0.2385488447502259,0.33968253968155937,0.4448223733921209,0.9426727294920437
4,TCGA_CS_4941,TCGA_CS_4941_19960909_13.tif,1977,1851,60920,788,0.42829289427983475,0.5164576802494345,0.7150090415887341,0.9597320556639161
4,TCGA_CS_4941,TCGA_CS_4941_19960909_14.tif,2136,2379,60280,741,0.40639269406315376,0.4730897009956299,0.7424400417075341,0.9523925781248547
4,TCGA_CS_4941,TCGA_CS_4941_19960909_15.tif,1527,2557,61027,425,0.3386560212900008,0.37389813907841846,0.782274590159927,0.9544982910154794
4,TCGA_CS_4941,TCGA_CS_4941_19960909_16.tif,1130,1872,61836,698,0.30540540540458,0.3764157228501785,0.6181619255983689,0.9607849121092285
4,TCGA_CS_4941,TCGA_CS_4941_19960909_17.tif,315,1740,62985,496,0.12348098784741873,0.15328467153210082,0.3884093711419432,0.9658813476561027
4,TCGA_CS_4941,TCGA_CS_4941_19960909_18.tif,3,1077,64385,71,0.002606429191984306,0.002777777777752058,0.04054054053506209,0.9824829101561001
4,TCGA_CS_4941,TCGA_CS_4941_19960909_19.tif,0,1069,64467,0,0.0,0.0,0.0,0.9836883544920374
4,TCGA_CS_4941,TCGA_CS_4941_19960909_2.tif,0,8604,56932,0,0.0,0.0,0.0,0.8687133789061174
4,TCGA_CS_4941,TCGA_CS_4941_19960909_20.tif,0,177,65359,0,0.0,0.0,0.0,0.9972991943357854
4,TCGA_CS_4941,TCGA_CS_4941_19960909_21.tif,0,778,64758,0,0.0,0.0,0.0,0.9881286621092242
4,TCGA_CS_4941,TCGA_CS_4941_19960909_22.tif,0,4876,60660,0,0.0,0.0,0.0,0.9255981445311088
4,TCGA_CS_4941,TCGA_CS_4941_19960909_23.tif,0,139,65397,0,0.0,0.0,0.0,0.9978790283201603
4,TCGA_CS_4941,TCGA_CS_4941_19960909_3.tif,0,5711,59825,0,0.0,0.0,0.0,0.9128570556639233
4,TCGA_CS_4941,TCGA_CS_4941_19960909_4.tif,0,7080,58456,0,0.0,0.0,0.0,0.8919677734373639
4,TCGA_CS_4941,TCGA_CS_4941_19960909_5.tif,0,5261,60275,0,0.0,0.0,0.0,0.9197235107420472
4,TCGA_CS_4941,TCGA_CS_4941_19960909_6.tif,0,5899,59637,0,0.0,0.0,0.0,0.9099884033201737
4,TCGA_CS_4941,TCGA_CS_4941_19960909_7.tif,0,3486,62050,0,0.0,0.0,0.0,0.9468078613279806
4,TCGA_CS_4941,TCGA_CS_4941_19960909_8.tif,0,3726,61810,0,0.0,0.0,0.0,0.9431457519529811
4,TCGA_CS_4941,TCGA_CS_4941_19960909_9.tif,0,2705,62831,0,0.0,0.0,0.0,0.9587249755857913
4,TCGA_CS_4943,TCGA_CS_4943_20000902_1.tif,0,835,64701,0,0.0,0.0,0.0,0.987258911132662
4,TCGA_CS_4943,TCGA_CS_4943_20000902_10.tif,0,2378,63158,0,0.0,0.0,0.0,0.963714599609228
4,TCGA_CS_4943,TCGA_CS_4943_20000902_11.tif,0,1948,63588,0,0.0,0.0,0.0,0.970275878906102
4,TCGA_CS_4943,TCGA_CS_4943_20000902_12.tif,161,2191,62850,334,0.059940431868726954,0.06845238095208991,0.3252525252459545,0.9614715576170408
4,TCGA_CS_4943,TCGA_CS_4943_20000902_13.tif,755,2106,62629,46,0.25971792225572854,0.26389374344542504,0.9425717852566471,0.9671630859373525
4,TCGA_CS_4943,TCGA_CS_4943_20000902_14.tif,1532,2409,61545,50,0.38386369330898557,0.3887338239015764,0.9683944374148649,0.9624786376951657
4,TCGA_CS_4943,TCGA_CS_4943_20000902_15.tif,2356,2836,60303,41,0.45021975921947216,0.45377503851992723,0.9828952857697836,0.9561004638670416
4,TCGA_CS_4943,TCGA_CS_4943_20000902_16.tif,2958,3057,59468,53,0.48747528015740366,0.4917705735652672,0.9823978744570495,0.9525451660154797
4,TCGA_CS_4943,TCGA_CS_4943_20000902_17.tif,3025,2960,59490,61,0.5003307972204758,0.505430242271503,0.980233311727219,0.953903198242042
4,TCGA_CS_4943,TCGA_CS_4943_20000902_18.tif,2167,2992,60200,177,0.40610944527660026,0.42004264392242674,0.9244880546035645,0.9516448974607923
4,TCGA_CS_4943,TCGA_CS_4943_20000902_19.tif,636,2986,61731,183,0.16714848883004693,0.1755935946985765,0.7765567765472948,0.9516448974607923
4,TCGA_CS_4943,TCGA_CS_4943_20000902_2.tif,0,582,64954,0,0.0,0.0,0.0,0.9911193847654738
4,TCGA_CS_4943,TCGA_CS_4943_20000902_20.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
4,TCGA_CS_4943,TCGA_CS_4943_20000902_3.tif,0,684,64852,0,0.0,0.0,0.0,0.989562988281099
4,TCGA_CS_4943,TCGA_CS_4943_20000902_4.tif,0,3483,62053,0,0.0,0.0,0.0,0.9468536376951681
4,TCGA_CS_4943,TCGA_CS_4943_20000902_5.tif,0,5072,60464,0,0.0,0.0,0.0,0.9226074218748592
4,TCGA_CS_4943,TCGA_CS_4943_20000902_6.tif,0,3124,62412,0,0.0,0.0,0.0,0.9523315429686047
4,TCGA_CS_4943,TCGA_CS_4943_20000902_7.tif,0,3110,62426,0,0.0,0.0,0.0,0.9525451660154797
4,TCGA_CS_4943,TCGA_CS_4943_20000902_8.tif,0,3757,61779,0,0.0,0.0,0.0,0.9426727294920437
4,TCGA_CS_4943,TCGA_CS_4943_20000902_9.tif,0,2311,63225,0,0.0,0.0,0.0,0.9647369384764153
4,TCGA_CS_6186,TCGA_CS_6186_20000601_1.tif,0,4880,60656,0,0.0,0.0,0.0,0.9255371093748588
4,TCGA_CS_6186,TCGA_CS_6186_20000601_10.tif,0,2361,63175,0,0.0,0.0,0.0,0.9639739990232904
4,TCGA_CS_6186,TCGA_CS_6186_20000601_11.tif,0,1930,63606,0,0.0,0.0,0.0,0.9705505371092269
4,TCGA_CS_6186,TCGA_CS_6186_20000601_12.tif,0,905,64631,0,0.0,0.0,0.0,0.9861907958982871
4,TCGA_CS_6186,TCGA_CS_6186_20000601_13.tif,0,980,64556,0,0.0,0.0,0.0,0.9850463867185998
4,TCGA_CS_6186,TCGA_CS_6186_20000601_14.tif,0,721,64815,0,0.0,0.0,0.0,0.9889984130857866
4,TCGA_CS_6186,TCGA_CS_6186_20000601_15.tif,139,930,63121,1346,0.05755693581756705,0.13002806360963493,0.09360269360206329,0.9652709960936028
4,TCGA_CS_6186,TCGA_CS_6186_20000601_16.tif,195,977,62480,1884,0.06380890052335142,0.16638225255830733,0.09379509379464264,0.9563446044920416
4,TCGA_CS_6186,TCGA_CS_6186_20000601_17.tif,584,1231,62251,1470,0.1777777777772366,0.32176308539767623,0.2843232716636596,0.9587860107420413
