fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
2,TCGA_CS_6667,TCGA_CS_6667_20011105_6.tif,0,2573,62963,0,0.0,0.0,0.0,0.960739135742041
2,TCGA_CS_6667,TCGA_CS_6667_20011105_7.tif,0,2265,63271,0,0.0,0.0,0.0,0.9654388427732902
2,TCGA_CS_6667,TCGA_CS_6667_20011105_8.tif,0,2300,63236,0,0.0,0.0,0.0,0.9649047851561028
2,TCGA_CS_6667,TCGA_CS_6667_20011105_9.tif,0,1889,63647,0,0.0,0.0,0.0,0.9711761474607894
2,TCGA_DU_5852,TCGA_DU_5852_19950709_1.tif,0,265,65271,0,0.0,0.0,0.0,0.9959564208982856
2,TCGA_DU_5852,TCGA_DU_5852_19950709_10.tif,0,1247,64289,0,0.0,0.0,0.0,0.9809722900389128
2,TCGA_DU_5852,TCGA_DU_5852_19950709_11.tif,0,1921,63615,0,0.0,0.0,0.0,0.9706878662107894
2,TCGA_DU_5852,TCGA_DU_5852_19950709_12.tif,0,1852,63084,600,0.0,0.0,0.0,0.9625854492186031
2,TCGA_DU_5852,TCGA_DU_5852_19950709_13.tif,0,1946,62765,825,0.0,0.0,0.0,0.9577178955076664
2,TCGA_DU_5852,TCGA_DU_5852_19950709_14.tif,0,2022,62773,741,0.0,0.0,0.0,0.9578399658201664
2,TCGA_DU_5852,TCGA_DU_5852_19950709_15.tif,0,1322,63594,620,0.0,0.0,0.0,0.970367431640477
2,TCGA_DU_5852,TCGA_DU_5852_19950709_16.tif,0,1603,63345,588,0.0,0.0,0.0,0.9665679931639151
2,TCGA_DU_5852,TCGA_DU_5852_19950709_17.tif,0,1554,63231,751,0.0,0.0,0.0,0.9648284912107903
2,TCGA_DU_5852,TCGA_DU_5852_19950709_18.tif,0,1470,63306,760,0.0,0.0,0.0,0.9659729003904777
2,TCGA_DU_5852,TCGA_DU_5852_19950709_19.tif,0,1502,63836,198,0.0,0.0,0.0,0.9740600585936015
2,TCGA_DU_5852,TCGA_DU_5852_19950709_2.tif,0,2183,63353,0,0.0,0.0,0.0,0.9666900634764151
2,TCGA_DU_5852,TCGA_DU_5852_19950709_20.tif,0,1513,64023,0,0.0,0.0,0.0,0.9769134521482885
2,TCGA_DU_5852,TCGA_DU_5852_19950709_21.tif,0,1473,64063,0,0.0,0.0,0.0,0.9775238037107884
2,TCGA_DU_5852,TCGA_DU_5852_19950709_22.tif,0,1455,64081,0,0.0,0.0,0.0,0.9777984619139134
2,TCGA_DU_5852,TCGA_DU_5852_19950709_23.tif,0,1418,64118,0,0.0,0.0,0.0,0.9783630371092258
2,TCGA_DU_5852,TCGA_DU_5852_19950709_24.tif,0,1201,64335,0,0.0,0.0,0.0,0.9816741943357877
2,TCGA_DU_5852,TCGA_DU_5852_19950709_25.tif,0,1423,64113,0,0.0,0.0,0.0,0.9782867431639133
2,TCGA_DU_5852,TCGA_DU_5852_19950709_26.tif,0,1582,63954,0,0.0,0.0,0.0,0.9758605957029761
2,TCGA_DU_5852,TCGA_DU_5852_19950709_27.tif,0,1858,63678,0,0.0,0.0,0.0,0.9716491699217268
2,TCGA_DU_5852,TCGA_DU_5852_19950709_28.tif,0,2298,63238,0,0.0,0.0,0.0,0.9649353027342278
2,TCGA_DU_5852,TCGA_DU_5852_19950709_29.tif,0,2596,62940,0,0.0,0.0,0.0,0.9603881835936035
2,TCGA_DU_5852,TCGA_DU_5852_19950709_3.tif,0,4424,61112,0,0.0,0.0,0.0,0.9324951171873578
2,TCGA_DU_5852,TCGA_DU_5852_19950709_30.tif,0,2752,62784,0,0.0,0.0,0.0,0.9580078124998539
2,TCGA_DU_5852,TCGA_DU_5852_19950709_31.tif,0,2868,62668,0,0.0,0.0,0.0,0.9562377929686041
2,TCGA_DU_5852,TCGA_DU_5852_19950709_32.tif,0,2883,62653,0,0.0,0.0,0.0,0.9560089111326666
2,TCGA_DU_5852,TCGA_DU_5852_19950709_33.tif,0,2818,62718,0,0.0,0.0,0.0,0.957000732421729
2,TCGA_DU_5852,TCGA_DU_5852_19950709_34.tif,0,1264,64272,0,0.0,0.0,0.0,0.9807128906248505
2,TCGA_DU_5852,TCGA_DU_5852_19950709_35.tif,0,44,65492,0,0.0,0.0,0.0,0.9993286132810976
2,TCGA_DU_5852,TCGA_DU_5852_19950709_36.tif,0,28,65508,0,0.0,0.0,0.0,0.9995727539060976
2,TCGA_DU_5852,TCGA_DU_5852_19950709_4.tif,0,4222,61314,0,0.0,0.0,0.0,0.9355773925779823
2,TCGA_DU_5852,TCGA_DU_5852_19950709_5.tif,0,3377,62159,0,0.0,0.0,0.0,0.9484710693357928
2,TCGA_DU_5852,TCGA_DU_5852_19950709_6.tif,0,1740,63796,0,0.0,0.0,0.0,0.9734497070311015
