fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
5,TCGA_CS_4944,TCGA_CS_4944_20010208_1.tif,0,903,64633,0,0.0,0.0,0.0,0.9862213134764121
5,TCGA_CS_4944,TCGA_CS_4944_20010208_10.tif,5284,1985,57362,905,0.6464399314892997,0.7269225478047504,0.853772822748661,0.9559020996092292
5,TCGA_CS_4944,TCGA_CS_4944_20010208_11.tif,4442,1706,58652,736,0.6452643811727988,0.7225113858153505,0.8578601776731212,0.9627380371092281
5,TCGA_CS_4944,TCGA_CS_4944_20010208_12.tif,3226,1925,59700,685,0.5527758738852763,0.6262861580263516,0.8248529787756972,0.9601745605467286
5,TCGA_CS_4944,TCGA_CS_4944_20010208_13.tif,685,1131,62896,824,0.25946969696871414,0.37720264316972907,0.4539430086119686,0.9701690673826645
5,TCGA_CS_4944,TCGA_CS_4944_20010208_14.tif,92,918,64176,350,0.06764705882303201,0.09108910890998921,0.20814479637538133,0.9806518554686005
5,TCGA_CS_4944,TCGA_CS_4944_20010208_15.tif,0,1143,64393,0,0.0,0.0,0.0,0.9825592041014126
5,TCGA_CS_4944,TCGA_CS_4944_20010208_16.tif,0,2579,62957,0,0.0,0.0,0.0,0.960647583007666
5,TCGA_CS_4944,TCGA_CS_4944_20010208_17.tif,0,2655,62881,0,0.0,0.0,0.0,0.9594879150389162
5,TCGA_CS_4944,TCGA_CS_4944_20010208_18.tif,0,4970,60566,0,0.0,0.0,0.0,0.924163818359234
5,TCGA_CS_4944,TCGA_CS_4944_20010208_19.tif,0,5420,60116,0,0.0,0.0,0.0,0.9172973632811101
5,TCGA_CS_4944,TCGA_CS_4944_20010208_2.tif,0,6490,59046,0,0.0,0.0,0.0,0.9009704589842376
5,TCGA_CS_4944,TCGA_CS_4944_20010208_20.tif,0,1879,63657,0,0.0,0.0,0.0,0.9713287353514143
5,TCGA_CS_4944,TCGA_CS_4944_20010208_3.tif,0,5733,59803,0,0.0,0.0,0.0,0.9125213623045483
5,TCGA_CS_4944,TCGA_CS_4944_20010208_4.tif,0,4425,61111,0,0.0,0.0,0.0,0.9324798583982953
5,TCGA_CS_4944,TCGA_CS_4944_20010208_5.tif,0,1788,63748,0,0.0,0.0,0.0,0.9727172851561016
5,TCGA_CS_4944,TCGA_CS_4944_20010208_6.tif,129,2957,62086,364,0.03739130434771771,0.041801685029028514,0.2616632859987492,0.9493255615232927
5,TCGA_CS_4944,TCGA_CS_4944_20010208_7.tif,712,2830,61682,312,0.1847431240265056,0.20101637492885088,0.6953124999932099,0.9520568847654798
5,TCGA_CS_4944,TCGA_CS_4944_20010208_8.tif,1284,2746,59362,2144,0.20796890184611602,0.3186104218354377,0.3745624270700859,0.9253845214842339
5,TCGA_CS_4944,TCGA_CS_4944_20010208_9.tif,3678,2405,57195,2258,0.44095432202320944,0.6046358704576613,0.6196091644194414,0.9288482666014208
5,TCGA_CS_6188,TCGA_CS_6188_20010812_1.tif,0,4518,61018,0,0.0,0.0,0.0,0.931060791015483
5,TCGA_CS_6188,TCGA_CS_6188_20010812_10.tif,0,2229,63307,0,0.0,0.0,0.0,0.9659881591795402
5,TCGA_CS_6188,TCGA_CS_6188_20010812_11.tif,0,2201,63335,0,0.0,0.0,0.0,0.9664154052732901
5,TCGA_CS_6188,TCGA_CS_6188_20010812_12.tif,0,1556,63980,0,0.0,0.0,0.0,0.9762573242186011
5,TCGA_CS_6188,TCGA_CS_6188_20010812_13.tif,0,1990,63546,0,0.0,0.0,0.0,0.9696350097654771
5,TCGA_CS_6188,TCGA_CS_6188_20010812_14.tif,0,1975,63445,116,0.0,0.0,0.0,0.9680938720701648
5,TCGA_CS_6188,TCGA_CS_6188_20010812_15.tif,0,1829,62860,847,0.0,0.0,0.0,0.9591674804686037
5,TCGA_CS_6188,TCGA_CS_6188_20010812_16.tif,0,1437,63604,495,0.0,0.0,0.0,0.970520019531102
5,TCGA_CS_6188,TCGA_CS_6188_20010812_17.tif,0,2142,62784,610,0.0,0.0,0.0,0.9580078124998539
5,TCGA_CS_6188,TCGA_CS_6188_20010812_18.tif,0,1820,63716,0,0.0,0.0,0.0,0.9722290039061017
5,TCGA_CS_6188,TCGA_CS_6188_20010812_19.tif,0,1696,63840,0,0.0,0.0,0.0,0.9741210937498515
5,TCGA_CS_6188,TCGA_CS_6188_20010812_2.tif,0,5683,59853,0,0.0,0.0,0.0,0.9132843017576732
5,TCGA_CS_6188,TCGA_CS_6188_20010812_20.tif,0,2017,63519,0,0.0,0.0,0.0,0.9692230224607896
5,TCGA_CS_6188,TCGA_CS_6188_20010812_21.tif,0,1839,63697,0,0.0,0.0,0.0,0.9719390869139143
5,TCGA_CS_6188,TCGA_CS_6188_20010812_22.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
5,TCGA_CS_6188,TCGA_CS_6188_20010812_23.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
5,TCGA_CS_6188,TCGA_CS_6188_20010812_24.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
5,TCGA_CS_6188,TCGA_CS_6188_20010812_3.tif,0,6797,58739,0,0.0,0.0,0.0,0.8962860107420508
5,TCGA_CS_6188,TCGA_CS_6188_20010812_4.tif,0,6228,59308,0,0.0,0.0,0.0,0.904968261718612
5,TCGA_CS_6188,TCGA_CS_6188_20010812_5.tif,0,5032,60504,0,0.0,0.0,0.0,0.9232177734373591
5,TCGA_CS_6188,TCGA_CS_6188_20010812_6.tif,0,4378,61158,0,0.0,0.0,0.0,0.9331970214842327
5,TCGA_CS_6188,TCGA_CS_6188_20010812_7.tif,0,3347,62189,0,0.0,0.0,0.0,0.9489288330076677
5,TCGA_CS_6188,TCGA_CS_6188_20010812_8.tif,0,3220,62316,0,0.0,0.0,0.0,0.950866699218605
5,TCGA_CS_6188,TCGA_CS_6188_20010812_9.tif,0,1622,63914,0,0.0,0.0,0.0,0.9752502441404762
5,TCGA_DU_5849,TCGA_DU_5849_19950405_1.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
5,TCGA_DU_5849,TCGA_DU_5849_19950405_10.tif,0,2393,63143,0,0.0,0.0,0.0,0.9634857177732905
5,TCGA_DU_5849,TCGA_DU_5849_19950405_11.tif,0,2330,63206,0,0.0,0.0,0.0,0.9644470214842279
5,TCGA_DU_5849,TCGA_DU_5849_19950405_12.tif,0,2163,63373,0,0.0,0.0,0.0,0.966995239257665
5,TCGA_DU_5849,TCGA_DU_5849_19950405_13.tif,0,2319,63217,0,0.0,0.0,0.0,0.9646148681639154
5,TCGA_DU_5849,TCGA_DU_5849_19950405_14.tif,0,1834,63702,0,0.0,0.0,0.0,0.9720153808592267
