fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
3,TCGA_CS_4942,TCGA_CS_4942_19970222_1.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
3,TCGA_CS_4942,TCGA_CS_4942_19970222_10.tif,487,3134,61145,770,0.11090867683873626,0.1344932339129122,0.3874303898139425,0.9404296874998566
3,TCGA_CS_4942,TCGA_CS_4942_19970222_11.tif,382,3314,60683,1157,0.07871419740350565,0.10335497835469871,0.24821312540449506,0.9317779541014204
3,TCGA_CS_4942,TCGA_CS_4942_19970222_12.tif,329,3333,60820,1054,0.06976251060205733,0.08984161660270387,0.2378886478652358,0.9330596923826702
3,TCGA_CS_4942,TCGA_CS_4942_19970222_13.tif,264,3382,60938,952,0.05741626794245886,0.07240811848581348,0.21710526315610934,0.9338684082029826
3,TCGA_CS_4942,TCGA_CS_4942_19970222_14.tif,0,3558,61217,761,0.0,0.0,0.0,0.9340972900389201
3,TCGA_CS_4942,TCGA_CS_4942_19970222_15.tif,0,3638,61898,0,0.0,0.0,0.0,0.9444885253904809
3,TCGA_CS_4942,TCGA_CS_4942_19970222_16.tif,0,3782,61754,0,0.0,0.0,0.0,0.9422912597654812
3,TCGA_CS_4942,TCGA_CS_4942_19970222_17.tif,0,4099,61437,0,0.0,0.0,0.0,0.9374542236326695
3,TCGA_CS_4942,TCGA_CS_4942_19970222_18.tif,0,4666,60870,0,0.0,0.0,0.0,0.9288024902342333
3,TCGA_CS_4942,TCGA_CS_4942_19970222_19.tif,0,5811,59725,0,0.0,0.0,0.0,0.9113311767576735
3,TCGA_CS_4942,TCGA_CS_4942_19970222_2.tif,0,4342,61194,0,0.0,0.0,0.0,0.9337463378904826
3,TCGA_CS_4942,TCGA_CS_4942_19970222_20.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
3,TCGA_CS_4942,TCGA_CS_4942_19970222_3.tif,0,4298,61238,0,0.0,0.0,0.0,0.9344177246092324
3,TCGA_CS_4942,TCGA_CS_4942_19970222_4.tif,0,4289,61247,0,0.0,0.0,0.0,0.934555053710795
3,TCGA_CS_4942,TCGA_CS_4942_19970222_5.tif,0,3760,61776,0,0.0,0.0,0.0,0.9426269531248562
3,TCGA_CS_4942,TCGA_CS_4942_19970222_6.tif,0,4052,61484,0,0.0,0.0,0.0,0.9381713867186069
3,TCGA_CS_4942,TCGA_CS_4942_19970222_7.tif,0,3212,62324,0,0.0,0.0,0.0,0.9509887695311049
3,TCGA_CS_4942,TCGA_CS_4942_19970222_8.tif,0,3121,62415,0,0.0,0.0,0.0,0.9523773193357922
3,TCGA_CS_4942,TCGA_CS_4942_19970222_9.tif,55,3368,61212,901,0.012719703977768919,0.01606777680392618,0.05753138075253628,0.934860229492045
3,TCGA_CS_5397,TCGA_CS_5397_20010315_1.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
3,TCGA_CS_5397,TCGA_CS_5397_20010315_10.tif,0,1015,63058,1463,0.0,0.0,0.0,0.9621887207029782
3,TCGA_CS_5397,TCGA_CS_5397_20010315_11.tif,0,470,64221,845,0.0,0.0,0.0,0.9799346923826631
3,TCGA_CS_5397,TCGA_CS_5397_20010315_12.tif,0,540,64601,395,0.0,0.0,0.0,0.9857330322264122
3,TCGA_CS_5397,TCGA_CS_5397_20010315_13.tif,0,671,64865,0,0.0,0.0,0.0,0.9897613525389115
3,TCGA_CS_5397,TCGA_CS_5397_20010315_14.tif,0,608,64928,0,0.0,0.0,0.0,0.9907226562498489
3,TCGA_CS_5397,TCGA_CS_5397_20010315_15.tif,0,575,64961,0,0.0,0.0,0.0,0.9912261962889113
3,TCGA_CS_5397,TCGA_CS_5397_20010315_16.tif,0,412,65124,0,0.0,0.0,0.0,0.9937133789060985
3,TCGA_CS_5397,TCGA_CS_5397_20010315_17.tif,0,1345,64191,0,0.0,0.0,0.0,0.9794769287107881
3,TCGA_CS_5397,TCGA_CS_5397_20010315_18.tif,0,1466,64070,0,0.0,0.0,0.0,0.9776306152342259
3,TCGA_CS_5397,TCGA_CS_5397_20010315_19.tif,0,1288,64248,0,0.0,0.0,0.0,0.9803466796873505
3,TCGA_CS_5397,TCGA_CS_5397_20010315_2.tif,0,2989,62547,0,0.0,0.0,0.0,0.954391479492042
3,TCGA_CS_5397,TCGA_CS_5397_20010315_20.tif,0,4236,61300,0,0.0,0.0,0.0,0.9353637695311073
3,TCGA_CS_5397,TCGA_CS_5397_20010315_21.tif,0,4015,61521,0,0.0,0.0,0.0,0.9387359619139193
3,TCGA_CS_5397,TCGA_CS_5397_20010315_22.tif,0,3084,62452,0,0.0,0.0,0.0,0.9529418945311047
3,TCGA_CS_5397,TCGA_CS_5397_20010315_3.tif,0,1735,63801,0,0.0,0.0,0.0,0.973526000976414
3,TCGA_CS_5397,TCGA_CS_5397_20010315_4.tif,0,2277,63259,0,0.0,0.0,0.0,0.9652557373045403
3,TCGA_CS_5397,TCGA_CS_5397_20010315_5.tif,0,1951,63585,0,0.0,0.0,0.0,0.9702301025389145
3,TCGA_CS_5397,TCGA_CS_5397_20010315_6.tif,0,1947,63589,0,0.0,0.0,0.0,0.9702911376951645
3,TCGA_CS_5397,TCGA_CS_5397_20010315_7.tif,0,2021,63088,427,0.0,0.0,0.0,0.9626464843748531
