fold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
1,122657,1611309,49589050,450424,0.05615160296467181,0.0707378345365476,0.21403082635787588,0.9601777861389932
2,88692,1816349,51072561,434238,0.03791424622714932,0.046556478312015086,0.16960587459124224,0.9578635186505463
3,53812,1442680,42344552,264684,0.030554583982520596,0.03595876222525723,0.16895659600120036,0.9612892910417439
4,127653,1705901,40820137,403461,0.05706398928929821,0.0696205293108353,0.24034952947954225,0.951010182930817
5,127238,1872837,41166491,349338,0.05415735760379272,0.06361661437696055,0.2669836500369245,0.9489341873720466
global_cv,520052,8449076,224992791,1902145,0.047837267999800905,0.057982448238000334,0.21470260263719174,0.9561136155103306
final_test,61434,681908,20715315,168223,0.0673939872636612,0.08264567318945946,0.2675032766255647,0.960691001198508
