split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_1,0.5,309828,716274,50484085,263253,0.24029689263236081,0.30194659010507435,0.5406356169546619,0.9810805115518689
val,fold_2,0.5,126591,43692,52845218,396339,0.2234134925929416,0.7434153732315766,0.24208020193906943,0.991761545754649
val,fold_3,0.5,109565,174853,43612379,208931,0.22208416354345054,0.38522526703653126,0.34400746006228194,0.9912985451685548
val,fold_4,0.5,176831,50009,42476029,354283,0.3042918624800549,0.7795406453887859,0.33294358649931405,0.9906103404145261
val,fold_5,0.5,222131,81333,42957995,254445,0.39814916052617183,0.7319846835209207,0.46609774726380543,0.9922837866358009
val_global_cv,global_cv,0.5,944946,1066161,232375706,1477251,0.27088561437788133,0.46986361242837665,0.3901193833532104,0.9892166192811805
final_test,fold_5,0.5,38053,53730,17975880,151345,0.1565142640913364,0.4145974744777993,0.20091553237097534,0.9887438986798837
