epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.36245086789131165,0.7916505932807922,0.6405077576637268,0.6505768299102783
1,0.6315309405326843,0.6210992932319641,0.6445387601852417,0.7078468799591064
2,0.6411290168762207,0.6137179732322693,0.6406312584877014,0.6427643895149231
3,0.6380698084831238,0.6062516570091248,0.6406780481338501,0.6487652659416199
4,0.6497272253036499,0.5822140574455261,0.6401461362838745,0.647844135761261
5,0.639334499835968,0.6012195944786072,0.6409501433372498,0.653297483921051
6,0.6349587440490723,0.6132706999778748,0.6352267861366272,0.6307148933410645
7,0.6349115967750549,0.6114500164985657,0.6400319337844849,0.651221513748169
8,0.6354549527168274,0.6131229400634766,0.6288502812385559,0.6342246532440186
9,0.633824348449707,0.6088333129882812,0.7251686453819275,0.43567463755607605
10,0.5214000344276428,0.5965828895568848,0.19074366986751556,0.8635410070419312
11,0.5942690372467041,0.6129127144813538,0.6360281705856323,0.643247663974762
12,0.6365647912025452,0.611865222454071,0.629215657711029,0.6351452469825745
13,0.6345939040184021,0.6060219407081604,0.7132232189178467,0.540751039981842
14,0.6333945989608765,0.6093625426292419,0.6268740296363831,0.6327387094497681
