split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_4,0.5,176831,50009,42476029,354283,0.3042918624800549,0.7795406453887859,0.33294358649931405,0.9906103404145261
val,fold_4,0.3,179584,53881,42472157,351530,0.30698382037452787,0.7692116591351693,0.33812703110819264,0.9905843517007347
val,fold_4,0.25,180304,54859,42471179,350810,0.30770018413817174,0.7667192543044286,0.3394826722699771,0.9905783596648472
val,fold_4,0.2,181030,56035,42470003,350084,0.30832037523694483,0.7636302279965088,0.3408496104414431,0.9905679084394619
