epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.15929585695266724,0.8938730955123901,0.1631278693675995,0.8655425310134888
1,0.1934036761522293,0.8510411977767944,0.1617056280374527,0.8646606802940369
2,0.24609880149364471,0.8216312527656555,0.6609314680099487,0.4665154218673706
3,0.5292547941207886,0.6452659368515015,0.6928953528404236,0.4510878622531891
4,0.6313908696174622,0.5192006230354309,0.704439640045166,0.4304119348526001
5,0.6694052219390869,0.5543087720870972,0.6800986528396606,0.5136599540710449
6,0.6247581243515015,0.6675888895988464,0.6707650423049927,0.5110185146331787
7,0.6251439452171326,0.6585941314697266,0.6774394512176514,0.5046823024749756
8,0.6250870227813721,0.6550305485725403,0.6880343556404114,0.498576819896698
9,0.6247088313102722,0.6525372862815857,0.6792714595794678,0.500704288482666
10,0.6233272552490234,0.6509343981742859,0.677737832069397,0.5003796815872192
11,0.6218125820159912,0.6509637832641602,0.6704914569854736,0.5039475560188293
12,0.6154057383537292,0.6500964164733887,0.6140907406806946,0.5433744788169861
13,0.617277979850769,0.6315412521362305,0.6579273343086243,0.5177596211433411
14,0.6172727942466736,0.6533182263374329,0.6145615577697754,0.5460138916969299
