split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_5,0.5,222131,81333,42957995,254445,0.39814916052617183,0.7319846835209207,0.46609774726380543,0.9922837866358009
val,fold_5,0.3,230529,94060,42945268,246047,0.4039860786911375,0.7102181528024453,0.48371928087019733,0.9921843057655425
val,fold_5,0.25,232517,98153,42941175,244059,0.4045680659928348,0.7031693228898689,0.48789070368628534,0.9921359326466018
val,fold_5,0.2,234469,103088,42936240,242107,0.4044912225013041,0.6946056517861963,0.49198658765862124,0.9920673829963407
