split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_2,0.5,126591,43692,52845218,396339,0.2234134925929416,0.7434153732315766,0.24208020193906943,0.991761545754649
val,fold_2,0.3,130109,45627,52843283,392821,0.22884073188791573,0.740366231164887,0.24880767980417554,0.9917911833780674
val,fold_2,0.25,130834,46067,52842843,392096,0.22993794343379262,0.7395888095601076,0.250194098636524,0.9917965192736291
val,fold_2,0.2,131561,46569,52842341,391369,0.23101181916034566,0.7385673384606333,0.25158434207254793,0.9918007318227567
