split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_1,0.5,309828,716274,50484085,263253,0.24029689263236081,0.30194659010507435,0.5406356169546619,0.9810805115518689
val,fold_1,0.3,322472,772156,50428203,250609,0.23971389428033693,0.29459505877795655,0.5626988156996906,0.9802453729170786
val,fold_1,0.25,325551,787277,50413082,247530,0.23931273973468573,0.29254386122563153,0.5680715291555545,0.9800127826159512
val,fold_1,0.2,328522,803534,50396825,244559,0.23864479175368394,0.2901994247634367,0.5732557875762663,0.9797561645507811
