split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_3,0.5,109565,174853,43612379,208931,0.22208416354345054,0.38522526703653126,0.34400746006228194,0.9912985451685548
val,fold_3,0.3,112620,187238,43599994,205876,0.2226862342654395,0.3755777734794344,0.35359941726111616,0.9910870080185502
val,fold_3,0.25,113484,191148,43596084,205012,0.2226730816020551,0.37252816513037457,0.3563121671857619,0.9910179466939077
val,fold_3,0.2,114409,195717,43591515,204087,0.22249340253941027,0.36891134571108614,0.35921644227869864,0.990935327039608
