epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.12819111347198486,0.9242812991142273,0.19132772088050842,0.854322075843811
1,0.15780992805957794,0.8972363471984863,0.1983838826417923,0.853306770324707
2,0.48032593727111816,0.7140187621116638,0.5877786874771118,0.7027519345283508
3,0.6334787011146545,0.6068066954612732,0.5930523872375488,0.7073532342910767
4,0.6434228420257568,0.5831645727157593,0.5964241623878479,0.7127822041511536
5,0.6407699584960938,0.6060820817947388,0.6088849902153015,0.6998674869537354
6,0.6406349539756775,0.598497748374939,0.6064671874046326,0.6974444389343262
7,0.6374373435974121,0.5713024735450745,0.566138744354248,0.7187106013298035
8,0.6465185880661011,0.5783224105834961,0.6062261462211609,0.7037752866744995
9,0.6412047147750854,0.6041883826255798,0.6077073216438293,0.6892287135124207
10,0.6292665004730225,0.5682539343833923,0.5163159966468811,0.5908190608024597
11,0.1326775997877121,0.9138599634170532,0.19460076093673706,0.8392427563667297
12,0.1656446009874344,0.8757198452949524,0.20353765785694122,0.8302668929100037
13,0.241542786359787,0.8319272994995117,0.659335196018219,0.5578789710998535
14,0.6330002546310425,0.5760166645050049,0.6034484505653381,0.6821637153625488
