epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.17750880122184753,0.822490930557251,0.16445350646972656,0.83537358045578
1,0.5336974859237671,0.4663025140762329,0.662581741809845,0.33742332458496094
2,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
3,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
4,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
5,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
6,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
7,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
8,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
9,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
10,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
11,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
12,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
13,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
14,0.6483476758003235,0.3516522943973541,0.662581741809845,0.33742332458496094
