epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.5334295034408569,0.4664793014526367,0.7020348906517029,0.30460622906684875
1,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
2,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
3,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
4,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
5,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
6,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
7,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
8,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
9,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
10,0.6413251161575317,0.35850989818573,0.7020348906517029,0.30460622906684875
